54426734,256364489
785809157,3117840
21684191,14476049
10488698,29320272
291017950,294329394
1472238081,36695382
24708758,41244208
34608811,9247093
12768079,253435269
199146163,29859151
383788829,29859151
14247315,43029424
13184733,391490993
32085637,180218616
1400876931,317644554
13660423,20942468
10181259,2910277
13818734,40342424
192996189,174839874
12694822,177306009
1399719587,47301071
636528637,33875435
1560299703,6187097
49589028,174812392
55130795,307937634
15411105,550235725
22281906,16504909
42940280,3307121665
52858265,322429466
202831110,558140138
1420567,48880389
197498728,23239319
398481691,2225281881
220168666,25851794
273732704,3280174
195015119,269699564
575487609,7469372
254561376,278596363
176739853,2027746529
47149760,193393781
37880614,9178951
364421542,6265211
180980519,5735890
191296007,272197044
300017524,3643846
217112767,400684869
61571,1915944912
514103338,229907749
3104780553,271335603
45925025,1810870
